"Date","Plot","Site","A","G","NG","R","SD","veg_height","Site_Plot","Orientation","Altitude"
2019-07-09,"D","SD1",10,70,10,0,10,18,"SD1 D","S","D"
2019-07-09,"D","SD2",10,70,20,0,0,20.6,"SD2 D","S","D"
2019-07-09,"D","SM1",25,50,25,0,0,27.2,"SM1 D","S","M"
2019-07-09,"D","SM2",10,60,15,10,5,18.6,"SM2 D","S","M"
2019-07-09,"E","ND1",10,60,25,0,5,8,"ND1 E","N","D"
2019-07-09,"E","ND2",20,40,30,0,10,7.2,"ND2 E","N","D"
2019-07-09,"E","SD1",5,80,15,0,0,18.6,"SD1 E","S","D"
2019-07-09,"E","SD2",10,70,20,0,0,32.6,"SD2 E","S","D"
2019-07-09,"E","SM1",10,60,30,0,0,28,"SM1 E","S","M"
2019-07-09,"E","SM2",10,50,25,10,5,22,"SM2 E","S","M"
2019-07-14,"A","NM1",10,40,25,5,20,4,"NM1 A","N","M"
2019-07-14,"A","NM2",10,25,25,10,30,12.4,"NM2 A","N","M"
2019-07-14,"A","NU1",10,80,10,0,0,7.2,"NU1 A","N","U"
2019-07-14,"A","NU2",5,50,35,0,10,10.2,"NU2 A","N","U"
2019-07-14,"A","SU1",10,70,20,0,0,4,"SU1 A","S","U"
2019-07-14,"A","SU2",5,80,5,0,10,7.4,"SU2 A","S","U"
2019-07-14,"B","NM1",5,30,20,5,40,3.2,"NM1 B","N","M"
2019-07-14,"B","NM2",5,40,30,15,10,6.2,"NM2 B","N","M"
2019-07-14,"B","NU1",10,70,20,0,0,5.2,"NU1 B","N","U"
2019-07-14,"B","NU2",5,45,40,5,5,9.8,"NU2 B","N","U"
2019-07-14,"B","SU1",10,70,15,5,0,3.6,"SU1 B","S","U"
2019-07-14,"B","SU2",5,75,20,0,0,4.2,"SU2 B","S","U"
2019-07-14,"C","NM1",10,25,20,5,40,3.2,"NM1 C","N","M"
2019-07-14,"C","NM2",20,30,25,5,20,7.2,"NM2 C","N","M"
2019-07-14,"C","NU1",10,70,20,0,0,7,"NU1 C","N","U"
2019-07-14,"C","NU2",15,50,30,0,5,12.4,"NU2 C","N","U"
2019-07-14,"C","SU1",10,80,10,0,0,5.6,"SU1 C","S","U"
